년도,구,나이,지체,청각,시각,뇌병변,지적,정신,신장,자폐성,언어,장루.요루,호흡기,간,뇌전증,심장,안면
2022,종로구,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,3 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,4 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,5 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,6 ,1 ,1 ,0 ,0 ,4 ,0 ,1 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,7 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
2022,종로구,8 ,0 ,0 ,1 ,0 ,6 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
2022,종로구,9 ,0 ,2 ,1 ,1 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,10 ,0 ,0 ,2 ,1 ,4 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,11 ,0 ,0 ,2 ,0 ,2 ,0 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,12 ,0 ,2 ,1 ,1 ,6 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,13 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,14 ,2 ,2 ,3 ,1 ,9 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,15 ,0 ,1 ,1 ,3 ,3 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,16 ,3 ,4 ,0 ,4 ,5 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
2022,종로구,17 ,1 ,2 ,1 ,2 ,9 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,18 ,1 ,2 ,3 ,1 ,6 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
2022,종로구,19 ,2 ,2 ,2 ,0 ,9 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
2022,종로구,20 ,2 ,0 ,7 ,1 ,11 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,21 ,2 ,3 ,2 ,4 ,9 ,0 ,1 ,5 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,22 ,1 ,2 ,2 ,0 ,9 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,23 ,2 ,1 ,4 ,1 ,4 ,0 ,0 ,4 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
2022,종로구,24 ,3 ,3 ,2 ,4 ,12 ,1 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,1 ,0 
2022,종로구,25 ,6 ,1 ,2 ,1 ,12 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
2022,종로구,26 ,1 ,2 ,2 ,3 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,27 ,4 ,1 ,2 ,2 ,7 ,1 ,0 ,4 ,0 ,1 ,0 ,0 ,1 ,0 ,1 
2022,종로구,28 ,2 ,3 ,3 ,0 ,9 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,29 ,5 ,1 ,3 ,1 ,6 ,1 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
2022,종로구,30 ,6 ,5 ,9 ,0 ,6 ,2 ,0 ,4 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
2022,종로구,31 ,3 ,2 ,6 ,1 ,8 ,1 ,1 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,32 ,2 ,2 ,5 ,2 ,8 ,3 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,33 ,7 ,1 ,2 ,1 ,10 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2022,종로구,34 ,4 ,1 ,5 ,1 ,8 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
